jenis_kejahatan,public_safety_severity,severity_level,public_safety_category
Pencurian Dengan Kekerasan ( Curas ),4,CRITICAL,violent_property_crime
Pencurian Dengan Pemberatan ( Curat ),2,MODERATE,property_crime
Pencurian Ringan,1,LOW,property_crime
Pencurian dalam lingkungan keluarga,1,LOW,private_or_nonpublic_harm
Pengaduan Palsu,1,LOW,regulatory_financial
Pengancaman,3,HIGH,threat_coercion
Penganiayaan,3,HIGH,physical_violence
Penganiayaan Berat ( Anirat ),4,CRITICAL,physical_violence
Pengeroyokan,3,HIGH,physical_violence
Pengerusakan,2,MODERATE,property_crime
Penggelapan,1,LOW,regulatory_financial
Penghinaan,1,LOW,private_or_nonpublic_harm
Penipuan / Perbuatan Curang,1,LOW,regulatory_financial
Penistaan Agama,2,MODERATE,public_disorder
Penyalahgunaan Wewenang,1,LOW,regulatory_financial
Penyebaran Berita Bohong ( Hoax ),1,LOW,regulatory_financial
Penyekapan,4,CRITICAL,abduction_exploitation
Penyelundupan Senjata api (senpi),3,HIGH,weapons_threat
Penyerobotan Tanah,2,MODERATE,property_crime
Perampasan ( Premanisme ),3,HIGH,violent_property_crime
Perbankan,1,LOW,regulatory_financial
Perbuatan Yang Tidak Menyenangkan,1,LOW,private_or_nonpublic_harm
Percobaan Pencurian,2,MODERATE,property_crime
Perdagangan Manusia / Trafficking In Person / Tppo (dalam Negeri),4,CRITICAL,abduction_exploitation
Perkelahian Pelajar / Mahasiswa,3,HIGH,physical_violence
Perkelahian Tanding,3,HIGH,physical_violence
Perkosaan,4,CRITICAL,sexual_violence
Perlindungan Konsumen,1,LOW,regulatory_financial
Persetubuhan Terhadap Anak / Cabul Terhadap Anak,4,CRITICAL,sexual_violence
Perzinahan,1,LOW,private_or_nonpublic_harm
Psikotropika ( Narkoba ),2,MODERATE,controlled_substances
Sengaja Menimbulkan Kebakaran/banjir (pembakaran),4,CRITICAL,public_endangerment
Sumpah Palsu Dan Keterangan Palsu,1,LOW,regulatory_financial
Telekomunikasi,1,LOW,regulatory_financial
Terhadap ketertiban umum,2,MODERATE,public_disorder
Terorisme,4,CRITICAL,public_endangerment
Tindak Asusila,2,MODERATE,sexual_misconduct
Tindak Pidana Dalam Perlindungan Anak,2,MODERATE,vulnerable_person_harm
Tindak Pidana Pencucian Uang ( TPPU / Money Laundering),1,LOW,regulatory_financial
Tindak Pidana Transfer Dana,1,LOW,regulatory_financial
UNCLASSIFIED,0,UNKNOWN,unknown
Unjuk Rasa Anarkis,3,HIGH,public_disorder
