jenis_kejahatan,crime_total,public_safety_severity,severity_level,public_safety_category
Penculikan,9,4,CRITICAL,abduction_exploitation
Persetubuhan Terhadap Anak / Cabul Terhadap Anak,9,4,CRITICAL,sexual_violence
Illegal Fishing,8,1,LOW,regulatory_financial
Mengakibatkan Orang Mati,8,4,CRITICAL,lethal_violence
Pengaduan Palsu,8,1,LOW,regulatory_financial
Penistaan Agama,8,2,MODERATE,public_disorder
Perlindungan Konsumen,8,1,LOW,regulatory_financial
Sengaja Menimbulkan Kebakaran/banjir (pembakaran),8,4,CRITICAL,public_endangerment
Kejahatan Terhadap Jiwa Orang / Pembunuhan,7,4,CRITICAL,lethal_violence
Mucikari ( Pelacuran ),7,2,MODERATE,exploitation
Pencurian dalam lingkungan keluarga,7,1,LOW,private_or_nonpublic_harm
Penyebaran Berita Bohong ( Hoax ),7,1,LOW,regulatory_financial
Penyekapan,7,4,CRITICAL,abduction_exploitation
Karena Alpa  Menimbulkan  Kebakaran/ Meletus/banjir,6,3,HIGH,public_endangerment
Mengakibatkan Orang Luka,6,3,HIGH,physical_violence
Melawan Putusan Pengadilan,5,1,LOW,regulatory_financial
Telekomunikasi,5,1,LOW,regulatory_financial
Perampasan ( Premanisme ),4,3,HIGH,violent_property_crime
Aborsi,3,1,LOW,private_or_nonpublic_harm
Kejahatan Tentang Perdagangan,3,1,LOW,regulatory_financial
Kejahatan Terhadap Penguasa Umum,3,2,MODERATE,public_disorder
Pemalsuan Mata Uang Dan Uang Kertas,3,1,LOW,regulatory_financial
Pembunuhan,3,4,CRITICAL,lethal_violence
Perkelahian Pelajar / Mahasiswa,3,3,HIGH,physical_violence
Tindak Pidana Pencucian Uang ( TPPU / Money Laundering),3,1,LOW,regulatory_financial
Hak Atas Kekayaan Intelektual ( HAKI ),2,1,LOW,regulatory_financial
Melawan Petugas yang Sedang Bertugas,2,3,HIGH,physical_violence
Penyalahgunaan Wewenang,2,1,LOW,regulatory_financial
Perdagangan Manusia / Trafficking In Person / Tppo (dalam Negeri),2,4,CRITICAL,abduction_exploitation
Karantina,1,1,LOW,regulatory_financial
Kawin halangan/kawin tanpa ijin,1,1,LOW,private_or_nonpublic_harm
Kejahatan Tentang Desain Industri,1,1,LOW,regulatory_financial
Kejahatan Tentang Penghapusan Diskriminasi Ras Dan Etnis,1,2,MODERATE,public_disorder
Kejahatan Tentang Perindustrian,1,1,LOW,regulatory_financial
Kejahatan Tentang Peternakan Dan Kesehatan Hewan,1,1,LOW,regulatory_financial
Kejahatan Terkait Administrasi Kependudukan,1,1,LOW,regulatory_financial
Kejahatan Terkait Pangan,1,1,LOW,regulatory_financial
Kejahatan Terkait Rahasia Dagang,1,1,LOW,regulatory_financial
Kejahatan tentang perlindungan pekerja migran indonesia,1,1,LOW,regulatory_financial
"Konflik Suku, Agama, Ras, dan Antar Golongan (SARA)",1,3,HIGH,public_disorder
Korupsi ( Tipikor ),1,1,LOW,regulatory_financial
Membahayakan keamanan umum,1,3,HIGH,public_endangerment
Menempatkan anaknya untuk ditemukan atau meninggalkannya dengan maksud untuk melepaskan diri dari padanya,1,1,LOW,private_or_nonpublic_harm
Penyelundupan Senjata api (senpi),1,3,HIGH,weapons_threat
Psikotropika ( Narkoba ),1,2,MODERATE,controlled_substances
Terorisme,1,4,CRITICAL,public_endangerment
Tindak Asusila,1,2,MODERATE,sexual_misconduct
